Data księgowania,Typ zapisu,Typ dokumentu,Nr dokumentu,Nr zapasu,Opis szukany,Nr źródła,Nazwa,Nr partii,Data ważności,Kod lokalizacji,Ilość,Ilość zafakturowana,Ilość pozostała,Koszt na jednostkę,Kwota sprzedaży (rzeczywista),Kwota kosztu (rzeczywista),Nr seryjny,Nr wiersza dokumentu,Nr wiersza komp. zlec. prod.,Nr wiersza zlecenia,Nr zadania zlecenia,Nr zapisu,Nr zlecenia,Nr zlecenia,Opis,Otwarte,Typ zlecenia,Zapis rozliczony do skorygow.
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03767,"SOLAN W ZALEWIE A'2,2KG/1KG PO ODCIEKU MALUTA",N3222,"SOLAN W ZALEWIE A'2,2KG/1KG PO ODCIEKU MALUTA",26.02.2026,2/26/2026,2,-1,-1,0,0.00,31.00,-26.50,,230000,0,0,,1854885,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06618,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,N3222,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,05.03.2026,3/5/2026,2,-3,-3,0,0.00,558.00,-500.40,,220000,0,0,,1854884,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z04127,PIZZA MIX A'2 KG SEROPODOBNY POLMLEK,N3222,PIZZA MIX A'2 KG SEROPODOBNY POLMLEK,09.12.2025,12/9/2025,2,-76,-76,0,0.00,"1,200.80",-976.60,,210000,0,0,,1854883,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00203,R-677,N3222,TWARÓG WIRÓWKOWY 4% A'11KG WŁOSZCZOWA,15.12.2025/01,12/15/2025,2,-110,-110,0,0.00,911.90,-803.00,,200000,0,0,,1854882,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z00203,R-677,N3222,TWARÓG WIRÓWKOWY 4% A'11KG WŁOSZCZOWA,13.12.2025/04,12/13/2025,2,-308,-308,0,0.00,"2,553.32","-2,248.40",,200000,0,0,,1854881,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07816,"MLEKO PŁYNNE 3,2% A'10L MLEKOVITA",N3222,"MLEKO PŁYNNE 3,2% A'10L MLEKOVITA",01.03.2026,3/1/2026,2,-11,-11,0,0.00,346.50,-311.41,,190000,0,0,,1854880,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03479,"MLEKO 3,2% A'10 L FARMER",N3222,"MLEKO PŁYNNE 3,2% A'10 L FARMER",16032026,3/16/2026,2,-26,-26,0,0.00,819.00,-746.20,,180000,0,0,,1854879,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03479,"MLEKO 3,2% A'10 L FARMER",N3222,"MLEKO PŁYNNE 3,2% A'10 L FARMER",14032026,3/14/2026,2,-54,-54,0,0.00,"1,701.00","-1,549.80",,180000,0,0,,1854878,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01841,D-095,N3222,SŁONECZNIK  A'25KG,BA25/MW-OCT4,10/31/2026,2,-50,-50,0,0.00,325.00,-222.50,,170000,0,0,,1854877,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03425,JABŁKO PRAŻONE KOSTKA MARINEX A'12 KG,N3222,JABŁKO PRAŻONE KOSTKA MARINEX A'12 KG,287/25,3/15/2026,2,-24,-24,0,0.00,136.80,-117.60,,160000,0,0,,1854876,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z04131,MĄKA PSZENNA TYP 1850 GRAHAM A'25KG ŚREDNIA GDAŃ.M,N3222,MĄKA PSZENNA TYP 1850 GRAHAM A'25KG ŚREDNIA GDAŃ.M,10192/25,1/31/2026,2,-50,-50,0,0.00,85.50,-63.50,,150000,0,0,,1854875,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01458,R-116,N3222,"MĄKA PSZENNA A'25KG """"500""SZCZEPANKI   BD",15.06.2026,6/15/2026,2,-75,-75,0,0.00,137.25,-96.75,,140000,0,0,,1854874,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01255,M-146,N3222,PŁATKI OWSIANE GÓRSKIE A'17 KG MELVIT,25101A,4/30/2027,2,-119,-119,0,0.00,392.70,-291.55,,130000,0,0,,1854873,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z03605,KETCHUP PIKANTNY A'5 KG ROLESKI,N3222,KETCHUP PIKANTNY A'5 KG ROLESKI,15.10.2026,10/15/2026,2,-1,-1,0,0.00,24.75,-24.50,,120000,0,0,,1854872,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06839,KONCENTRAT POMIDOROWY 28-30% 4500G VERA,N3222,KONCENTRAT POMIDOROWY 28-30% 4500G VERA,153045,5/9/2028,2,-14,-14,0,0.00,436.80,-287.00,,110000,0,0,,1854871,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07576,CIECIERZYCA VERA 4000G/2655G,N3222,CIECIERZYCA VERA 4000G/2655G,070R/071R/075R,12/31/2028,2,-2,-2,0,0.00,38.00,-31.40,,100000,0,0,,1854870,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07851,"MIKS ŁOSICKI 75% A'0,2KG",N3222,"MIKS ŁOSICKI 75% A'0,2KG",27.12.2025,12/27/2025,2,-181,-181,0,0.00,488.70,-398.20,,90000,0,0,,1854869,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06532,OLIWA POMACE 5L,N3222,OLIWA POMACE 5L,220720250350,1/11/2027,2,-5,-5,0,0.00,440.00,-293.00,,80000,0,0,,1854868,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01309,TŁ-047,N3222,OLEJ RZEPAKOWY UNIWERSALNY A`5 L,257/15/2,9/14/2026,2,-60,-60,0,0.00,"1,587.00","-1,530.00",,70000,0,0,,1854867,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z08040,M-PIETRUSZKA KOSTKA A'10/20KG,N3222,M-PIETRUSZKA KOSTKA A'10/20KG,28.02.2026,2/28/2026,2,-160,-160,0,0.00,915.20,-704.00,,60000,0,0,,1854866,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07323,PULPA POMIDOROWA O'SOLE MIO A'15KG,N3222,PULPA POMIDOROWA O'SOLE MIO A'15KG,18.10.2027,10/18/2027,2,-7,-7,0,0.00,548.80,-511.00,,50000,0,0,,1854865,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07323,PULPA POMIDOROWA O'SOLE MIO A'15KG,N3222,PULPA POMIDOROWA O'SOLE MIO A'15KG,G290,10/16/2027,2,-5,-5,0,0.00,392.00,-365.00,,50000,0,0,,1854864,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z08037,M-SELER KOSTKA A'20/25KG,N3222,M-SELER KOSTKA A'20/25KG,30.11.2026,11/30/2026,2,-275,-275,0,0.00,"1,512.50","-1,237.50",,40000,0,0,,1854863,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z07691,M-PAPRYKA CZERWONA PASKI A'15/20KG WOREK,N3222,M-PAPRYKA CZERWONA PASKI A'15/20KG WOREK,17112025,10/31/2026,2,-280,-280,0,0.00,"2,044.00","-1,512.00",,30000,0,0,,1854862,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z06741,M-CEBULA KOSTKA A'10KG KARTON,N3222,M-CEBULA KOSTKA A'10KG KARTON,17112025,10/31/2027,2,-390,-390,0,0.00,"1,946.10","-1,170.00",,20000,0,0,,1854861,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31995,Z01935,R-091,N3222,SÓL MIELONA A'25KG,40251104/3,11/4/2027,2,-25,-25,0,0.00,29.75,-23.75,,10000,0,0,,1854860,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z07142,SER TARTY A'1KG SPAGHETTINO TMT,N1995,SER TARTY A'1KG SPAGHETTINO TMT,11890/25,2/3/2026,2,-1,-1,0,0.00,36.80,-33.00,,50000,0,0,,1854793,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z06618,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,N1995,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,05.03.2026,3/5/2026,2,-2,-2,0,0.00,360.00,-333.60,,40000,0,0,,1854792,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z02783,"SER CHEDDAR WIÓRKI A'2,5KG TMT",N1995,"SER CHEDDAR WIÓRKI A'2,5KG TMT",12067/25,1/16/2026,2,-10,-10,0,0.00,290.00,-229.00,,30000,0,0,,1854791,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z04360,JOGURT NATURALNY MALUTA WOREK A`5 KG,N1995,JOGURT NATURALNY MALUTA WOREK A`5 KG,08.12.2025,12/8/2025,2,-30,-30,0,0.00,113.70,-110.70,,20000,0,0,,1854790,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z02381,D-519,N1995,TWARÓG PÓŁTŁ.5%  3-KROTNIE MIELONY A'10KG MALUTA,03.12.2025,12/3/2025,2,-500,-500,0,0.00,"6,750.00","-6,000.00",,10000,0,0,,1854789,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31991,Z02381,D-519,N1995,TWARÓG PÓŁTŁ.5%  3-KROTNIE MIELONY A'10KG MALUTA,02.12.2025,12/2/2025,2,-250,-250,0,0.00,"3,375.00","-3,000.00",,10000,0,0,,1854788,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z07144,"SER TARTY MIMOLETTE A'2,5KG TMT",N1995,"SER TARTY MIMOLETTE A'2,5KG TMT",12068/25,1/16/2026,2,-2.5,-2.5,0,0.00,62.25,-55.00,,100000,0,0,,1854787,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z04178,JAJA GOTOWANE W ZALEWIE A'7KG OVOVITA 140SZT/WIADR,N1995,JAJA GOTOWANE W ZALEWIE A'7KG OVOVITA 140SZT/WIADR,22.12.2025,12/22/2025,2,-1,-1,0,0.00,144.00,-130.00,,90000,0,0,,1854786,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z05062,DULCE DE LECHE PASTELERO A'7KG,N1995,DULCE DE LECHE PASTELERO A'7KG,29.03.2026,3/29/2026,2,-14,-14,0,0.00,373.80,-336.00,,80000,0,0,,1854785,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z06618,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,N1995,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,05.03.2026,3/5/2026,2,-3,-3,0,0.00,540.00,-500.40,,70000,0,0,,1854784,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z07142,SER TARTY A'1KG SPAGHETTINO TMT,N1995,SER TARTY A'1KG SPAGHETTINO TMT,11890/25,2/3/2026,2,-10,-10,0,0.00,368.00,-330.00,,60000,0,0,,1854783,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z02768,SER PLASTRY CHEDDAR TMT A'1 KG / KARTON 12KG,N1995,SER PLASTRY CHEDDAR TMT A'1 KG / KARTON 12KG,12024/25,1/14/2026,2,-14,-14,0,0.00,406.00,-329.00,,50000,0,0,,1854782,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z05227,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,N1995,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,18.12.2025,12/18/2025,2,-20,-20,0,0.00,109.00,-92.00,,40000,0,0,,1854781,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z04360,JOGURT NATURALNY MALUTA WOREK A`5 KG,N1995,JOGURT NATURALNY MALUTA WOREK A`5 KG,08.12.2025,12/8/2025,2,-185,-185,0,0.00,701.15,-682.65,,30000,0,0,,1854780,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z02783,"SER CHEDDAR WIÓRKI A'2,5KG TMT",N1995,"SER CHEDDAR WIÓRKI A'2,5KG TMT",12321/25,1/24/2026,2,-162.5,-162.5,0,0.00,"4,712.50","-3,721.25",,20000,0,0,,1854779,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z02783,"SER CHEDDAR WIÓRKI A'2,5KG TMT",N1995,"SER CHEDDAR WIÓRKI A'2,5KG TMT",12067/25,1/16/2026,2,-27.5,-27.5,0,0.00,797.50,-629.75,,20000,0,0,,1854778,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31990,Z03222,JOGURT NAT. TYPU ISLANDZKIEGO SKYR A'5KG FARMER,N1995,JOGURT NAT. TYPU ISLANDZKIEGO SKYR A'5KG FARMER,13.12.2025,12/13/2025,2,-295,-295,0,0.00,"2,419.00","-2,283.30",,10000,0,0,,1854777,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31989,Z02783,"SER CHEDDAR WIÓRKI A'2,5KG TMT",N1995,"SER CHEDDAR WIÓRKI A'2,5KG TMT",12067/25,1/16/2026,2,-5,-5,0,0.00,145.00,-114.50,,30000,0,0,,1854776,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31989,Z04360,JOGURT NATURALNY MALUTA WOREK A`5 KG,N1995,JOGURT NATURALNY MALUTA WOREK A`5 KG,08.12.2025,12/8/2025,2,-20,-20,0,0.00,75.80,-73.80,,20000,0,0,,1854775,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31989,Z02381,D-519,N1995,TWARÓG PÓŁTŁ.5%  3-KROTNIE MIELONY A'10KG MALUTA,02.12.2025,12/2/2025,2,-60,-60,0,0.00,810.00,-720.00,,10000,0,0,,1854774,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z06618,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,N1995,SOLAN W ZALEWIE A'10KG/6KG PO ODCIEKU MALUTA,05.03.2026,3/5/2026,2,-3,-3,0,0.00,540.00,-500.40,,150000,0,0,,1854773,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z07144,"SER TARTY MIMOLETTE A'2,5KG TMT",N1995,"SER TARTY MIMOLETTE A'2,5KG TMT",12068/25,1/16/2026,2,-7.5,-7.5,0,0.00,186.75,-165.00,,140000,0,0,,1854772,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z01319,TŁ-083,N1995,TŁUSZCZ KOKOSOWY UNIFET A'10 KG,450863/1,8/11/2027,2,-10,-10,0,0.00,126.00,-115.90,,130000,0,0,,1854771,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03489,ŚMIETANKA UHT 36% KARTON 5L. BIERUŃ,N1995,ŚMIETANKA UHT 36% KARTON A'5L BIERUŃ NIEBIESKA,29.04.2026,4/29/2026,2,-70,-70,0,0.00,"1,260.70","-1,095.50",,120000,0,0,,1854770,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03489,ŚMIETANKA UHT 36% KARTON 5L. BIERUŃ,N1995,ŚMIETANKA UHT 36% KARTON A'5L BIERUŃ NIEBIESKA,28.04.2026,4/28/2026,2,-30,-30,0,0.00,540.30,-448.50,,120000,0,0,,1854769,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z05525,SEREK HOMO O SMAKU WANILIOWYM MALUTA A'5KG BL,N1995,SEREK HOMO O SMAKU WANILIOWYM MALUTA A'5KG BL,10.12.2025,12/10/2025,2,-15,-15,0,0.00,157.05,-142.05,,110000,0,0,,1854768,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z05525,SEREK HOMO O SMAKU WANILIOWYM MALUTA A'5KG BL,N1995,SEREK HOMO O SMAKU WANILIOWYM MALUTA A'5KG BL,23.11.2025,11/23/2025,2,-10,-10,0,0.00,104.70,-94.70,,110000,0,0,,1854767,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z07142,SER TARTY A'1KG SPAGHETTINO TMT,N1995,SER TARTY A'1KG SPAGHETTINO TMT,11890/25,2/3/2026,2,-36,-36,0,0.00,"1,324.80","-1,188.00",,100000,0,0,,1854766,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z08089,MAJONEZ BEZ CUKRU A'5KG DEVELEY,N1995,MAJONEZ BEZ CUKRU A'5KG DEVELEY,2790250,2/4/2026,2,-36,-36,0,0.00,"2,120.40","-1,912.32",,90000,0,0,,1854765,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03724,SEREK HOMOG. O SM. WANILIOWYM A'10KG MALUTA,N1995,SEREK HOMOG. O SM. WANILIOWYM A'10KG MALUTA,03.12.2025,12/3/2025,2,-50,-50,0,0.00,447.50,-437.50,,80000,0,0,,1854764,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z04178,JAJA GOTOWANE W ZALEWIE A'7KG OVOVITA 140SZT/WIADR,N1995,JAJA GOTOWANE W ZALEWIE A'7KG OVOVITA 140SZT/WIADR,22.12.2025,12/22/2025,2,-48,-48,0,0.00,"6,912.00","-6,240.00",,70000,0,0,,1854763,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03097,JOGURT NATURALNY BEZ LAKTOZY A'5KG WIADRO MALUTA,N1995,JOGURT NATURALNY BEZ LAKTOZY A'5KG WIADRO MALUTA,04.12.2025,12/4/2025,2,-57,-57,0,0.00,"1,653.00","-1,442.10",,60000,0,0,,1854762,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03773,JOGURT NATURALNY 0% B/LAK. WYSOKOBIAŁ.A'5KG MALUTA,N1995,JOGURT NATURALNY 0% B/LAK. WYSOKOBIAŁ.A'5KG MALUTA,11.12.2025,12/11/2025,2,-170,-170,0,0.00,"1,273.30","-1,011.50",,50000,0,0,,1854761,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z05227,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,N1995,JOGURT NATURALNY TYPU GRECKIEGO A'10KG BIERUŃ,20251221,12/21/2025,2,-180,-180,0,0.00,981.00,-828.00,,40000,0,0,,1854760,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z02783,"SER CHEDDAR WIÓRKI A'2,5KG TMT",N1995,"SER CHEDDAR WIÓRKI A'2,5KG TMT",12067/25,1/16/2026,2,-230,-230,0,0.00,"6,670.00","-5,267.00",,30000,0,0,,1854759,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z03222,JOGURT NAT. TYPU ISLANDZKIEGO SKYR A'5KG FARMER,N1995,JOGURT NAT. TYPU ISLANDZKIEGO SKYR A'5KG FARMER,13.12.2025,12/13/2025,2,-245,-245,0,0.00,"2,009.00","-1,896.30",,20000,0,0,,1854758,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31988,Z04360,JOGURT NATURALNY MALUTA WOREK A`5 KG,N1995,JOGURT NATURALNY MALUTA WOREK A`5 KG,08.12.2025,12/8/2025,2,-585,-585,0,0.00,"2,217.15","-2,158.65",,10000,0,0,,1854757,,,,0, ,0
11/21/2025,Sprzedaż,Faktura korygująca sprzedaży,25/KG/00696,Z07693,NADZIENIE PRIMO Z PŁATKAMI RÓŻY A'13KG PROSPONA,N1995,NADZIENIE PRIMO Z PŁATKAMI RÓŻY A'13KG PROSPONA,P-1/I,4/15/2026,2,13,13,13,0.00,-228.80,166.86,,10000,0,0,,1854751,,,,1, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31985,Z06975,PULPA POMIDROWA A'400 G MUTTI DEVELEY,N0293,PULPA POMIDROWA A'400 G MUTTI DEVELEY,M237,8/31/2026,2,-1,-1,0,0.00,4.86,-4.85,,20000,0,0,,1854735,,,,0, ,0
11/21/2025,Sprzedaż,Wydanie sprzedaży,WD/25/31985,Z04267,DEVLEY-MUTTI PASSATA A'700 G,N0293,MUTTI PASSATA  A'700 G DEVELEY,G333,8/31/2027,2,-1,-1,0,0.00,8.54,-8.02,,10000,0,0,,1854734,,,,0, ,0
